"intersection_id","tollgate_id","time_window","avg_travel_time"
"B","3","2016-09-19 00:00:00","76.13"
"B","3","2016-09-19 00:20:00","0"
"B","3","2016-09-19 00:40:00","132.89"
"B","3","2016-09-19 01:00:00","63.75"
"B","3","2016-09-19 01:20:00","49.95"
"B","3","2016-09-19 01:40:00","0"
"B","3","2016-09-19 02:00:00","57.48"
"B","3","2016-09-19 02:20:00","0"
"B","3","2016-09-19 02:40:00","0"
"B","3","2016-09-19 03:00:00","0"
"B","3","2016-09-19 03:20:00","0"
"B","3","2016-09-19 03:40:00","0"
"B","3","2016-09-19 04:00:00","64.33"
"B","3","2016-09-19 04:20:00","0"
"B","3","2016-09-19 04:40:00","0"
"B","3","2016-09-19 05:00:00","0"
"B","3","2016-09-19 05:20:00","76.71"
"B","3","2016-09-19 05:40:00","111.8"
"B","3","2016-09-19 06:00:00","0"
"B","3","2016-09-19 06:20:00","0"
"B","3","2016-09-19 06:40:00","0"
"B","3","2016-09-19 07:00:00","83.84"
"B","3","2016-09-19 07:20:00","109.25"
"B","3","2016-09-19 07:40:00","117.45"
"B","3","2016-09-19 08:00:00","0"
"B","3","2016-09-19 08:20:00","106.68"
"B","3","2016-09-19 08:40:00","98.38"
"B","3","2016-09-19 09:00:00","116.87"
"B","3","2016-09-19 09:20:00","161.05"
"B","3","2016-09-19 09:40:00","126.62"
"B","3","2016-09-19 10:00:00","67.43"
"B","3","2016-09-19 10:20:00","77.44"
"B","3","2016-09-19 10:40:00","91.36"
"B","3","2016-09-19 11:00:00","127.99"
"B","3","2016-09-19 11:20:00","94.54"
"B","3","2016-09-19 11:40:00","77.55"
"B","3","2016-09-19 12:00:00","95.61"
"B","3","2016-09-19 12:20:00","112.17"
"B","3","2016-09-19 12:40:00","120.52"
"B","3","2016-09-19 13:00:00","148.65"
"B","3","2016-09-19 13:20:00","107.41"
"B","3","2016-09-19 13:40:00","143.17"
"B","3","2016-09-19 14:00:00","100.91"
"B","3","2016-09-19 14:20:00","71.33"
"B","3","2016-09-19 14:40:00","92.1"
"B","3","2016-09-19 15:00:00","137.59"
"B","3","2016-09-19 15:20:00","124.14"
"B","3","2016-09-19 15:40:00","113.59"
"B","3","2016-09-19 16:00:00","85.64"
"B","3","2016-09-19 16:20:00","72.97"
"B","3","2016-09-19 16:40:00","97.8"
"B","3","2016-09-19 17:00:00","106.31"
"B","3","2016-09-19 17:20:00","122.26"
"B","3","2016-09-19 17:40:00","80.08"
"B","3","2016-09-19 18:00:00","82.5"
"B","3","2016-09-19 18:20:00","64.01"
"B","3","2016-09-19 18:40:00","109.09"
"B","3","2016-09-19 19:00:00","108.73"
"B","3","2016-09-19 19:20:00","0"
"B","3","2016-09-19 19:40:00","117.46"
"B","3","2016-09-19 20:00:00","100.3"
"B","3","2016-09-19 20:20:00","137.03"
"B","3","2016-09-19 20:40:00","102.86"
"B","3","2016-09-19 21:00:00","131.52"
"B","3","2016-09-19 21:20:00","137.94"
"B","3","2016-09-19 21:40:00","42.05"
"B","3","2016-09-19 22:00:00","0"
"B","3","2016-09-19 22:20:00","101.78"
"B","3","2016-09-19 22:40:00","50.95"
"B","3","2016-09-19 23:00:00","83.84"
"B","3","2016-09-19 23:20:00","106.4"
"B","3","2016-09-19 23:40:00","0"
"B","3","2016-09-20 00:00:00","68.02"
"B","3","2016-09-20 00:20:00","136.56"
"B","3","2016-09-20 00:40:00","0"
"B","3","2016-09-20 01:00:00","73.38"
"B","3","2016-09-20 01:20:00","59.18"
"B","3","2016-09-20 01:40:00","0"
"B","3","2016-09-20 02:00:00","30.78"
"B","3","2016-09-20 02:20:00","0"
"B","3","2016-09-20 02:40:00","0"
"B","3","2016-09-20 03:00:00","0"
"B","3","2016-09-20 03:20:00","34.55"
"B","3","2016-09-20 03:40:00","70.31"
"B","3","2016-09-20 04:00:00","48.5"
"B","3","2016-09-20 04:20:00","72.37"
"B","3","2016-09-20 04:40:00","171.99"
"B","3","2016-09-20 05:00:00","0"
"B","3","2016-09-20 05:20:00","0"
"B","3","2016-09-20 05:40:00","90.47"
"B","3","2016-09-20 06:00:00","119.47"
"B","3","2016-09-20 06:20:00","0"
"B","3","2016-09-20 06:40:00","95.02"
"B","3","2016-09-20 07:00:00","95.2"
"B","3","2016-09-20 07:20:00","130.69"
"B","3","2016-09-20 07:40:00","80.6"
"B","3","2016-09-20 08:00:00","126.75"
"B","3","2016-09-20 08:20:00","107.9"
"B","3","2016-09-20 08:40:00","118.13"
"B","3","2016-09-20 09:00:00","151.43"
"B","3","2016-09-20 09:20:00","141.31"
"B","3","2016-09-20 09:40:00","90.94"
"B","3","2016-09-20 10:00:00","106.42"
"B","3","2016-09-20 10:20:00","132.76"
"B","3","2016-09-20 10:40:00","102.18"
"B","3","2016-09-20 11:00:00","120.52"
"B","3","2016-09-20 11:20:00","102.12"
"B","3","2016-09-20 11:40:00","111.96"
"B","3","2016-09-20 12:00:00","114.32"
"B","3","2016-09-20 12:20:00","109.55"
"B","3","2016-09-20 12:40:00","124.04"
"B","3","2016-09-20 13:00:00","125.59"
"B","3","2016-09-20 13:20:00","146.82"
"B","3","2016-09-20 13:40:00","112.94"
"B","3","2016-09-20 14:00:00","141.04"
"B","3","2016-09-20 14:20:00","208.11"
"B","3","2016-09-20 14:40:00","90.2"
"B","3","2016-09-20 15:00:00","123.73"
"B","3","2016-09-20 15:20:00","122.39"
"B","3","2016-09-20 15:40:00","103.3"
"B","3","2016-09-20 16:00:00","163.55"
"B","3","2016-09-20 16:20:00","92.29"
"B","3","2016-09-20 16:40:00","94.46"
"B","3","2016-09-20 17:00:00","106.58"
"B","3","2016-09-20 17:20:00","107.88"
"B","3","2016-09-20 17:40:00","104.06"
"B","3","2016-09-20 18:00:00","0"
"B","3","2016-09-20 18:20:00","84.24"
"B","3","2016-09-20 18:40:00","115.28"
"B","3","2016-09-20 19:00:00","55.22"
"B","3","2016-09-20 19:20:00","98.14"
"B","3","2016-09-20 19:40:00","59.18"
"B","3","2016-09-20 20:00:00","121.09"
"B","3","2016-09-20 20:20:00","111.16"
"B","3","2016-09-20 20:40:00","99.42"
"B","3","2016-09-20 21:00:00","96.66"
"B","3","2016-09-20 21:20:00","116.25"
"B","3","2016-09-20 21:40:00","96.39"
"B","3","2016-09-20 22:00:00","103.53"
"B","3","2016-09-20 22:20:00","105.25"
"B","3","2016-09-20 22:40:00","98.51"
"B","3","2016-09-20 23:00:00","61.86"
"B","3","2016-09-20 23:20:00","106.94"
"B","3","2016-09-20 23:40:00","77.47"
"B","3","2016-09-21 00:00:00","215.28"
"B","3","2016-09-21 00:20:00","28.24"
"B","3","2016-09-21 00:40:00","0"
"B","3","2016-09-21 01:00:00","70.47"
"B","3","2016-09-21 01:20:00","0"
"B","3","2016-09-21 01:40:00","0"
"B","3","2016-09-21 02:00:00","0"
"B","3","2016-09-21 02:20:00","0"
"B","3","2016-09-21 02:40:00","124.22"
"B","3","2016-09-21 03:00:00","0"
"B","3","2016-09-21 03:20:00","0"
"B","3","2016-09-21 03:40:00","0"
"B","3","2016-09-21 04:00:00","0"
"B","3","2016-09-21 04:20:00","0"
"B","3","2016-09-21 04:40:00","0"
"B","3","2016-09-21 05:00:00","0"
"B","3","2016-09-21 05:20:00","0"
"B","3","2016-09-21 05:40:00","88.71"
"B","3","2016-09-21 06:00:00","120.96"
"B","3","2016-09-21 06:20:00","78.29"
"B","3","2016-09-21 06:40:00","0"
"B","3","2016-09-21 07:00:00","108.38"
"B","3","2016-09-21 07:20:00","49.93"
"B","3","2016-09-21 07:40:00","100.78"
"B","3","2016-09-21 08:00:00","151.0"
"B","3","2016-09-21 08:20:00","127.77"
"B","3","2016-09-21 08:40:00","169.72"
"B","3","2016-09-21 09:00:00","252.82"
"B","3","2016-09-21 09:20:00","135.63"
"B","3","2016-09-21 09:40:00","117.77"
"B","3","2016-09-21 10:00:00","127.55"
"B","3","2016-09-21 10:20:00","110.52"
"B","3","2016-09-21 10:40:00","154.48"
"B","3","2016-09-21 11:00:00","102.31"
"B","3","2016-09-21 11:20:00","84.23"
"B","3","2016-09-21 11:40:00","103.14"
"B","3","2016-09-21 12:00:00","124.78"
"B","3","2016-09-21 12:20:00","144.93"
"B","3","2016-09-21 12:40:00","94.92"
"B","3","2016-09-21 13:00:00","121.87"
"B","3","2016-09-21 13:20:00","137.61"
"B","3","2016-09-21 13:40:00","107.45"
"B","3","2016-09-21 14:00:00","113.8"
"B","3","2016-09-21 14:20:00","124.99"
"B","3","2016-09-21 14:40:00","121.67"
"B","3","2016-09-21 15:00:00","102.55"
"B","3","2016-09-21 15:20:00","120.98"
"B","3","2016-09-21 15:40:00","100.15"
"B","3","2016-09-21 16:00:00","123.32"
"B","3","2016-09-21 16:20:00","115.15"
"B","3","2016-09-21 16:40:00","107.66"
"B","3","2016-09-21 17:00:00","81.4"
"B","3","2016-09-21 17:20:00","91.68"
"B","3","2016-09-21 17:40:00","92.06"
"B","3","2016-09-21 18:00:00","109.19"
"B","3","2016-09-21 18:20:00","68.14"
"B","3","2016-09-21 18:40:00","128.4"
"B","3","2016-09-21 19:00:00","91.92"
"B","3","2016-09-21 19:20:00","97.14"
"B","3","2016-09-21 19:40:00","91.92"
"B","3","2016-09-21 20:00:00","155.45"
"B","3","2016-09-21 20:20:00","101.67"
"B","3","2016-09-21 20:40:00","118.37"
"B","3","2016-09-21 21:00:00","45.59"
"B","3","2016-09-21 21:20:00","97.69"
"B","3","2016-09-21 21:40:00","75.92"
"B","3","2016-09-21 22:00:00","0"
"B","3","2016-09-21 22:20:00","65.69"
"B","3","2016-09-21 22:40:00","62.96"
"B","3","2016-09-21 23:00:00","178.51"
"B","3","2016-09-21 23:20:00","86.62"
"B","3","2016-09-21 23:40:00","0"
"B","3","2016-09-22 00:00:00","0"
"B","3","2016-09-22 00:20:00","0"
"B","3","2016-09-22 00:40:00","0"
"B","3","2016-09-22 01:00:00","138.43"
"B","3","2016-09-22 01:20:00","58.24"
"B","3","2016-09-22 01:40:00","0"
"B","3","2016-09-22 02:00:00","135.13"
"B","3","2016-09-22 02:20:00","0"
"B","3","2016-09-22 02:40:00","0"
"B","3","2016-09-22 03:00:00","0"
"B","3","2016-09-22 03:20:00","88.5"
"B","3","2016-09-22 03:40:00","121.3"
"B","3","2016-09-22 04:00:00","75.32"
"B","3","2016-09-22 04:20:00","98.41"
"B","3","2016-09-22 04:40:00","0"
"B","3","2016-09-22 05:00:00","0"
"B","3","2016-09-22 05:20:00","90.16"
"B","3","2016-09-22 05:40:00","0"
"B","3","2016-09-22 06:00:00","93.4"
"B","3","2016-09-22 06:20:00","156.58"
"B","3","2016-09-22 06:40:00","90.44"
"B","3","2016-09-22 07:00:00","118.62"
"B","3","2016-09-22 07:20:00","84.51"
"B","3","2016-09-22 07:40:00","54.48"
"B","3","2016-09-22 08:00:00","100.55"
"B","3","2016-09-22 08:20:00","110.14"
"B","3","2016-09-22 08:40:00","112.64"
"B","3","2016-09-22 09:00:00","120.44"
"B","3","2016-09-22 09:20:00","101.91"
"B","3","2016-09-22 09:40:00","134.51"
"B","3","2016-09-22 10:00:00","95.72"
"B","3","2016-09-22 10:20:00","101.11"
"B","3","2016-09-22 10:40:00","130.86"
"B","3","2016-09-22 11:00:00","123.07"
"B","3","2016-09-22 11:20:00","76.85"
