"tollgate_id","time_window","direction","volume","volume_model0","volume_model1","volume_model2","volume_model3","volume_model4","volume_model5","volume_model6","volume_model7","volume_etc0","volume_etc1","volume_type0","volume_type1","volume_type2"
"3","2016-09-19 00:00:00","0","17","0","11","0","2","0","3","0","1","17","0","0","0","17"
"3","2016-09-19 00:00:00","1","181","0","162","6","4","5","2","0","2","135","46","160","21","0"
"1","2016-09-19 00:00:00","0","13","0","10","1","0","0","2","0","0","9","4","0","0","13"
"1","2016-09-19 00:00:00","1","140","0","125","7","2","2","0","0","4","107","33","109","31","0"
"2","2016-09-19 00:00:00","0","2","0","1","1","0","0","0","0","0","2","0","0","0","2"
"3","2016-09-19 00:20:00","0","16","0","14","1","1","0","0","0","0","15","1","0","0","16"
"3","2016-09-19 00:20:00","1","112","0","92","13","2","3","1","0","1","77","35","96","16","0"
"1","2016-09-19 00:20:00","0","6","0","6","0","0","0","0","0","0","5","1","0","0","6"
"1","2016-09-19 00:20:00","1","56","0","41","5","1","6","1","0","2","46","10","40","16","0"
"2","2016-09-19 00:20:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 00:40:00","0","16","0","13","2","1","0","0","0","0","15","1","0","0","16"
"3","2016-09-19 00:40:00","1","93","0","73","8","7","3","1","0","1","68","25","77","16","0"
"1","2016-09-19 00:40:00","0","9","0","6","1","0","1","1","0","0","8","1","0","0","9"
"1","2016-09-19 00:40:00","1","31","0","20","8","2","1","0","0","0","26","5","20","11","0"
"2","2016-09-19 00:40:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 01:00:00","0","17","0","16","0","0","0","1","0","0","16","1","0","0","17"
"3","2016-09-19 01:00:00","1","4","0","4","0","0","0","0","0","0","3","1","4","0","0"
"1","2016-09-19 01:00:00","0","10","0","7","0","0","0","3","0","0","9","1","0","0","10"
"1","2016-09-19 01:00:00","1","4","0","3","1","0","0","0","0","0","3","1","2","2","0"
"2","2016-09-19 01:00:00","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1"
"3","2016-09-19 01:20:00","0","17","0","14","0","1","0","2","0","0","15","2","0","0","17"
"3","2016-09-19 01:20:00","1","5","0","4","0","0","0","1","0","0","4","1","2","3","0"
"1","2016-09-19 01:20:00","0","14","1","10","1","1","0","1","0","0","11","3","0","0","14"
"1","2016-09-19 01:20:00","1","14","0","9","3","0","0","2","0","0","12","2","8","6","0"
"2","2016-09-19 01:20:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","2016-09-19 01:40:00","0","11","0","7","1","1","0","2","0","0","11","0","0","0","11"
"3","2016-09-19 01:40:00","1","4","0","3","0","0","0","1","0","0","4","0","3","1","0"
