"time","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation"
"2016-09-28 01:20:00","1004.7","1009.6","46","3.4","26.9","91","0"
"2016-10-09 07:40:00","1014","1019.1","54","3.5","21.7","49","0"
"2016-10-07 06:40:00","1009.1","1014.1","299","2.5","20","96","0"
"2016-09-28 19:40:00","1005.6","1010.5","38","5.5","22","94","1.2"
"2016-09-30 01:00:00","1007","1012","330","2.1","21.7","88","0"
"2016-09-29 23:40:00","1006.8","1011.8","338","2","21","91","0.1"
"2016-09-22 01:20:00","1013.9","1018.9","281","1.5","20.7","91","0"
"2016-10-15 18:00:00","1012.9","1017.9","215","1.7","19.7","97","0"
"2016-09-28 03:00:00","1004.5","1009.4","65","4.3","27.9","86","0"
"2016-10-11 02:20:00","1015.5","1020.6","351","2.2","18.7","74","0"
"2016-10-08 17:40:00","1014.9","1020","15","5.5","18.6","60","0"
"2016-10-07 18:40:00","1008.1","1013.1","342","4.1","20.4","97","2"
"2016-09-23 18:20:00","1008.8","1013.7","317","1.8","21.4","88","0"
"2016-10-12 10:40:00","1016.5","1021.6","39","3.7","21.2","57","0"
"2016-10-01 01:40:00","1009.4","1014.4","236","0.1","22.3","93","0"
"2016-09-22 04:40:00","1013","1018","187","2.5","26.4","62","0"
"2016-09-21 16:20:00","1014.1","1019.1","310","1","20.8","93","0"
"2016-10-01 21:40:00","1007.2","1012.1","172","2","23.7","95","0"
"2016-09-23 03:20:00","1010.9","1015.9","222","1.7","26.4","68","0"
"2016-10-04 09:20:00","1005.1","1010.1","327","1.5","23.9","75","0"
"2016-09-19 16:00:00","1011.1","1016.1","18","2.6","21.4","80","0"
"2016-10-03 01:40:00","1007.4","1012.3","13","2.6","22.4","85","0"
"2016-10-17 07:20:00","1013.4","1018.4","81","1.2","21.3","79","0"
"2016-10-04 21:00:00","1007.9","1012.9","250","1.4","19.9","90","0"
"2016-10-06 17:40:00","1014.2","1019.2","87","1.8","21.5","76","0"
"2016-10-12 01:00:00","1018.4","1023.5","56","4.5","19.9","60","0"
"2016-09-29 02:20:00","1007.8","1012.8","345","2.3","21.5","97","3.1"
"2016-09-26 07:00:00","1005.4","1010.3","37","4.1","30.3","56","0"
"2016-10-11 22:20:00","1016.7","1021.7","4","1.9","19.2","74","0"
"2016-09-28 00:00:00","1004.7","1009.6","46","3.4","26.9","91","0"
"2016-10-11 18:20:00","1015.7","1020.7","347","2.3","18.8","73","0"
"2016-10-15 05:00:00","1015.8","1020.9","357","1.1","19.8","94","0.6"
"2016-10-13 06:00:00","1015.2","1020.2","48","2.3","21.6","63","0"
"2016-09-29 13:40:00","1007.6","1012.6","10","3.1","20.3","97","1.5"
"2016-10-10 05:00:00","1015","1020","40","3.6","20.9","67","0"
"2016-10-07 04:00:00","1010.9","1015.9","331","1.8","20.2","92","0.3"
"2016-09-24 21:00:00","1007.5","1012.4","324","1.1","21.2","93","0"
"2016-09-30 22:00:00","1008.6","1013.6","284","0.7","21","96","0"
"2016-09-29 19:20:00","1006.4","1011.4","354","1.8","19.6","97","0.2"
"2016-09-24 07:20:00","1006.6","1011.5","54","3.8","29.6","55","0"
"2016-09-20 18:20:00","1013.8","1018.8","327","1.4","19.4","74","0"
"2016-09-27 23:20:00","1003","1007.9","28","2.9","26.4","94","0"
"2016-10-05 14:20:00","1011.5","1016.5","59","2","25.4","72","0"
"2016-10-14 10:00:00","1015.5","1020.6","349","2","18.2","81","0"
"2016-10-05 04:00:00","1010.2","1015.2","340","1.5","25.4","68","0"
"2016-09-20 16:20:00","1014","1019","326","2.2","20.5","65","0"
"2016-09-30 21:00:00","1008.6","1013.6","284","0.7","21","96","0"
"2016-10-13 02:00:00","1017","1022.1","74","2","19.8","78","0"
"2016-10-11 04:20:00","1014.7","1019.7","45","3.5","21.2","66","0"
"2016-10-06 08:40:00","1013.4","1018.4","59","1.5","23.9","82","0.8"
"2016-10-03 14:20:00","1007.5","1012.5","29","1.8","24","78","0"
"2016-09-20 20:20:00","1013.8","1018.8","327","1.4","19.4","74","0"
"2016-09-23 00:20:00","1011.8","1016.8","335","0.7","22.7","84","0"
"2016-10-08 02:20:00","1010.6","1015.6","2","4.2","19.4","94","1"
"2016-10-03 08:00:00","1005.8","1010.7","35","2.6","25.4","72","0"
"2016-09-20 13:20:00","1013.7","1018.7","25","1.7","22.1","53","0"
"2016-10-17 23:20:00","1013.9","1018.9","322","2.5","19.3","90",""
"2016-10-10 14:00:00","1015.6","1020.7","139","3.8","20.2","64","0"
"2016-10-17 16:40:00","1014.7","1019.8","222","0.9","18.9","92","0"
"2016-10-13 13:20:00","1016.8","1021.9","24","2.2","20.3","69","0"
"2016-10-03 06:00:00","1005.8","1010.7","35","2.6","25.4","72","0"
"2016-10-11 15:00:00","1015.9","1020.9","45","2.8","20.3","66","0"
"2016-10-12 18:20:00","1016.1","1021.1","327","1.9","18.9","83","0"
"2016-10-13 19:40:00","1015.8","1020.9","352","1.5","19.1","75","0"
"2016-09-19 21:40:00","1012","1017","319","2.7","19.1","75","0"
